date,1 Mo,2y,10y,5y-2y,RGDP_SA_P1Q1QL1AR,INTRGDP_NSA_P1M1ML12_3MMA,EMPL_NSA_P1M1ML12_3MMA,UNEMPLRATE_SA_3MMA,M2,VIX,MOVE,IMPINFM1Y_NSA,IMPINFM5Y_NSA,equity_returns,diff_ma_5,BBP_5_2.0,bbb_z,volatility
2005-02-07,0.06999999999999984,0.020000000000000018,-0.004889975550122161,-0.03000000000000025,-2.5562355607164062,-1.7032748463625658,2.078962986882065,-5.478674384867918,0.00015472261673110665,1.43455080052029,-0.6295536115350304,-0.1038525852354286,-0.9195577375221724,0.0018642785860436752,0.014137376524525541,0.9349585487845894,-0.0553196255079845,0.023472932850787418
2005-02-08,0.06999999999999984,0.020000000000000018,-0.004914004914005066,-0.009999999999999787,-2.4045140951878814,-1.6667122342453222,1.986124220011524,-4.436500837634784,5.1566227115440455e-05,-0.12563556497115558,0.32525330037442185,0.0165419166434445,-0.0869207804648976,0.0016796657145497149,0.010299729164356465,0.7630451638251555,-0.06719676891682463,0.022372417186510927
2005-02-09,0.0,-0.08999999999999986,-0.012345679012345623,-0.010000000000000231,-2.27309731894387,-1.631780799259653,1.9026373585457703,-3.809970211925297,5.156356817659358e-05,1.0304395176305188,1.4266750287585208,0.1430603843706537,0.4453719755675333,0.0003150447621106131,0.015168521039259005,0.8223244703022028,-0.09563152506481018,0.022351653394335442
2005-02-10,0.010000000000000231,0.04999999999999982,0.01750000000000007,0.020000000000000018,-2.157656160805878,-1.5983532061411798,1.827037008480592,-3.378738376346993,5.1560909512415876e-05,-1.0068713721942186,0.9647650386999715,0.5074447967708128,1.2730036618810965,0.000831668914946421,0.005944161769878272,0.5332504133642347,-0.18372711169786868,0.027662385400759926
2005-02-11,0.009999999999999787,0.04999999999999982,0.007371007371007154,4.440892098500626e-16,-2.0550546171146697,-1.5663156432809813,1.7581792450521865,-3.057647191740032,5.155825112179713e-05,-0.031700552122965985,0.3690893658664722,0.6354615375375958,1.9637256416010136,0.001637134260859432,0.004044104868607383,0.3497720508967487,-0.22920944539619603,0.024952361498669216
2005-02-14,0.010000000000000231,0.040000000000000036,-0.004878048780487698,-0.040000000000000036,-1.9629572135554303,-1.5326084663215105,1.6951601700946852,-2.805889497642213,0.00015466677901732062,0.3224846826449699,0.6621649232424829,0.762888647325979,2.155846944115496,0.0015131961369640424,0.0033172080724586535,0.3732369328905892,-0.2378925089498489,0.022275910866402782
2005-02-15,0.029999999999999805,-0.009999999999999787,0.004901960784313708,0.019999999999999574,-1.8795836715015568,-1.500325448396914,1.6372593711790575,-2.601129180922197,5.154762030135096e-05,-0.46518378199870386,-0.2671780193144623,0.7572524773610494,0.6117329888388777,0.0017481376307377967,-0.0010031588370603296,0.17460202085969645,-0.23589548463695217,0.021788380614026995
2005-02-16,-0.009999999999999787,0.040000000000000036,0.014634146341463428,0.029999999999999805,-1.803549674786499,-1.553958479516553,1.583900064280074,-2.4299715851712937,5.1544963281191514e-05,-0.19781978443786855,-0.12817722577567953,1.9580361390878436,1.4880852259469584,0.0015425768828075477,-0.002057580110832331,0.12918937190272675,-0.26572167677154374,0.01953213387257184
2005-02-17,0.009999999999999787,-0.03000000000000025,0.007211538461538547,0.03000000000000025,-1.7337601512396574,-1.518695474408882,1.5346207912705592,-2.2838285872313837,5.154230653503511e-05,1.936831359577886,-2.4653501829876396,2.337204190447666,2.046983402013954,0.0003025319487209289,-0.002249886925667535,0.21416801292320087,-0.31265724634610487,0.01740355825096657
2005-02-18,-0.009999999999999787,0.07000000000000028,0.01909307875894961,0.009999999999999787,-1.6693357487086948,-1.484985057436059,1.4890554271811454,-2.156904414252542,5.153965006243766e-05,-1.145781069176995,1.0409780222728977,2.3736153463393244,2.953334608333442,0.00035445897836014825,-0.0011324105234684554,0.36415976568335545,-0.8446047572742342,0.015677244258786797
